,tx_id,smb.session_id,smb.dialect,smb.command,smb.status,smb.request.native_lm,smb.request.native_os,smb.response.native_lm,smb.response.native_os
211,0,0,NT LM 0.12,SMB1_COMMAND_NEGOTIATE_PROTOCOL,UNKNOWN_00_0000,,,,
209,1,2048,NT LM 0.12,SMB1_COMMAND_SESSION_SETUP_ANDX,STATUS_MORE_PROCESSING_REQUIRED,Windows 2000 5.0,Windows 2000 2195,Windows 10 Enterprise N 6.3,Windows 10 Enterprise N 22000
207,2,2048,NT LM 0.12,SMB1_COMMAND_SESSION_SETUP_ANDX,STATUS_LOGON_FAILURE,Windows 2000 5.0,Windows 2000 2195,,
205,3,2049,NT LM 0.12,SMB1_COMMAND_SESSION_SETUP_ANDX,UNKNOWN_00_0000,,&,Windows 10 Enterprise N 6.3,Windows 10 Enterprise N 22000
203,4,2049,NT LM 0.12,SMB1_COMMAND_TREE_CONNECT_ANDX,UNKNOWN_00_0000,,,,
201,5,2049,NT LM 0.12,SMB1_COMMAND_NT_CREATE_ANDX,STATUS_ACCESS_DENIED,,,,
199,6,2049,NT LM 0.12,SMB1_COMMAND_NT_CREATE_ANDX,STATUS_ACCESS_DENIED,,,,
197,7,2049,NT LM 0.12,SMB1_COMMAND_NT_CREATE_ANDX,STATUS_ACCESS_DENIED,,,,
194,8,2049,NT LM 0.12,SMB1_COMMAND_NT_CREATE_ANDX,STATUS_ACCESS_DENIED,,,,
195,9,2049,NT LM 0.12,SMB1_COMMAND_NT_CREATE_ANDX,STATUS_ACCESS_DENIED,,,,
191,10,2049,NT LM 0.12,SMB1_COMMAND_NT_CREATE_ANDX,STATUS_ACCESS_DENIED,,,,
189,11,2049,NT LM 0.12,SMB1_COMMAND_NT_CREATE_ANDX,STATUS_ACCESS_DENIED,,,,
187,12,2049,NT LM 0.12,SMB1_COMMAND_NT_CREATE_ANDX,STATUS_ACCESS_DENIED,,,,
185,13,2049,NT LM 0.12,SMB1_COMMAND_NT_CREATE_ANDX,STATUS_ACCESS_DENIED,,,,
183,14,2049,NT LM 0.12,SMB1_COMMAND_NT_CREATE_ANDX,STATUS_ACCESS_DENIED,,,,
181,15,2049,NT LM 0.12,SMB1_COMMAND_NT_CREATE_ANDX,STATUS_ACCESS_DENIED,,,,
179,16,2049,NT LM 0.12,SMB1_COMMAND_NT_CREATE_ANDX,STATUS_ACCESS_DENIED,,,,
176,17,2049,NT LM 0.12,SMB1_COMMAND_NT_CREATE_ANDX,STATUS_ACCESS_DENIED,,,,
177,18,2049,NT LM 0.12,SMB1_COMMAND_NT_CREATE_ANDX,STATUS_ACCESS_DENIED,,,,
172,19,2049,NT LM 0.12,SMB1_COMMAND_NT_CREATE_ANDX,STATUS_ACCESS_DENIED,,,,
173,20,2049,NT LM 0.12,SMB1_COMMAND_NT_CREATE_ANDX,STATUS_ACCESS_DENIED,,,,
169,21,2049,NT LM 0.12,SMB1_COMMAND_NT_CREATE_ANDX,STATUS_ACCESS_DENIED,,,,
167,22,2049,NT LM 0.12,SMB1_COMMAND_NT_CREATE_ANDX,STATUS_ACCESS_DENIED,,,,
165,23,2049,NT LM 0.12,SMB1_COMMAND_NT_CREATE_ANDX,STATUS_ACCESS_DENIED,,,,
163,24,2049,NT LM 0.12,SMB1_COMMAND_NT_CREATE_ANDX,STATUS_ACCESS_DENIED,,,,
161,25,2049,NT LM 0.12,SMB1_COMMAND_NT_CREATE_ANDX,STATUS_ACCESS_DENIED,,,,
159,26,2049,NT LM 0.12,SMB1_COMMAND_NT_CREATE_ANDX,STATUS_ACCESS_DENIED,,,,
157,27,2049,NT LM 0.12,SMB1_COMMAND_NT_CREATE_ANDX,STATUS_ACCESS_DENIED,,,,
155,28,2049,NT LM 0.12,SMB1_COMMAND_NT_CREATE_ANDX,STATUS_ACCESS_DENIED,,,,
153,29,2049,NT LM 0.12,SMB1_COMMAND_NT_CREATE_ANDX,STATUS_ACCESS_DENIED,,,,
